"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MIR4685",3.50708896803376,-0.216214516361802,1.11047412447481,-0.194704686580661,0.845624142770786,NA
"MIR6507",0,NA,NA,NA,NA,NA
"SHH",0,NA,NA,NA,NA,NA
"LINC01475",0,NA,NA,NA,NA,NA
"PLAAT2",1.67362753489085,-0.692412682049973,2.06027772112127,-0.336077352558634,0.736812536194732,NA
"DNMBP-AS1",0.847601275905201,-0.692544692489775,2.50877935027555,-0.276048466523654,0.782510840983517,NA
"C8B",0,NA,NA,NA,NA,NA
"COLEC10",2.98502218112394,-0.0634768707657748,1.15874996906283,-0.054780472457845,0.956313357759663,NA
"DLGAP2",0,NA,NA,NA,NA,NA
"OR52M1",0,NA,NA,NA,NA,NA
"CLPS",0,NA,NA,NA,NA,NA
"TRDN",0,NA,NA,NA,NA,NA
"DIO3",0,NA,NA,NA,NA,NA
"DNAH9",0,NA,NA,NA,NA,NA
"OR4D2",0,NA,NA,NA,NA,NA
"ABCG1",2.27476591307492,1.83918413888485,1.41076407285788,1.30367945588457,0.192342896927018,NA
"HOXC5",0,NA,NA,NA,NA,NA
"TLX1NB",0,NA,NA,NA,NA,NA
"LINC01514",0,NA,NA,NA,NA,NA
"LBX1-AS1",0,NA,NA,NA,NA,NA
"LINC02681",0,NA,NA,NA,NA,NA
"ADAM7",0,NA,NA,NA,NA,NA
"OR52E5",0,NA,NA,NA,NA,NA
"ATP10B",5.92651237203968,-0.14528102666686,1.00331266411512,-0.144801348436075,0.884867717549522,NA
"NTRK2",1.63609414396321,3.04396810135681,2.08024931523016,1.46327081041247,0.143393291581521,NA
"UGT2B10",0,NA,NA,NA,NA,NA
"MIR3158-1",0.319157713917043,-1.83594353751921,3.81811304670119,-0.48085101595026,0.630622388977047,NA
"MIR3158-2",0.861991242919741,-3.27527222855799,3.43366398735365,-0.953870920573759,0.340148984715296,NA
"LMLN2",0,NA,NA,NA,NA,NA
"CUX2",0,NA,NA,NA,NA,NA
"PSORS1C2",0,NA,NA,NA,NA,NA
"CCL22",0,NA,NA,NA,NA,NA
"CCL18",0.162490253999831,0.919876486434925,4.0804728567969,0.225433796208857,0.821641822635319,NA
"KIF26B",2.83715625306402,1.18202967390594,1.27081497669741,0.930135146012986,0.352301115540411,NA
"CTRC",0,NA,NA,NA,NA,NA
"MLN",0,NA,NA,NA,NA,NA
"BORCS7-ASMT",0,NA,NA,NA,NA,NA
"INA",0.319157713917043,-1.83594353751921,3.81811304670119,-0.48085101595026,0.630622388977047,NA
"WDR86",0,NA,NA,NA,NA,NA
"SPINK5",0,NA,NA,NA,NA,NA
"ZNF705B",0.350985013527506,-1.95560856930793,4.03343448678334,-0.484849469035884,0.627783128803674,NA
"THEG5",0,NA,NA,NA,NA,NA
